left,left,left,left,right,right,right,right
x,vel,angle,angle_vel,x,vel,angle,angle_vel
0.18904322,0.23869997,0.21449623,0.17694917,0.5793216,0.18134442,0.32380876,0.43290925
0.29354033,0.23202679,0.19306691,0.15112293,0.708814,0.161288,0.27911162,0.39626595
0.0057445467,0.11775729,0.11912815,0.12612566,0.011662893,0.07431585,0.08768412,0.079013094
0.28049546,0.3219457,0.35684353,0.31809014,0.32974845,0.0851566,0.15625064,0.08214782
0.15759294,0.13228002,0.15739289,0.37258977,0.057288535,0.0646601,0.05727236,0.06890183
0.37740183,0.3568421,0.309331,0.1709086,0.80691564,0.22295159,0.3873648,0.49905017
0.4816417,0.47379488,0.5379843,0.9072211,0.4936797,0.65117484,0.4974593,0.19453806
0.28976342,0.27051803,0.35196763,0.05355785,0.6297934,0.1715467,0.7227079,0.073189795
0.111272946,0.31209046,0.1611564,0.3998279,0.0039038807,0.2825067,0.057918012,1.2697423
0.56570774,0.5794274,0.44550604,0.114765346,0.86397916,0.44204086,0.5734787,0.4858247
0.06437044,0.07892752,0.07609781,0.0808256,0.08624424,0.05416306,0.07159334,0.05915863
0.14079063,0.17265782,0.15425575,0.14086641,0.5010328,0.16163087,0.27278763,0.35817724
0.22957265,0.20355627,0.21957308,0.4044327,0.12925561,0.14647399,0.116513535,0.10725908
0.15609902,0.388931,0.4792211,0.36285192,0.32270333,0.118813895,0.22161719,0.09156714
0.12309934,0.29501656,0.2502314,0.23871183,0.36417675,0.3152636,0.3966395,0.47801042
0.10838249,0.14198032,0.1461104,0.13782683,0.04588841,0.019879915,0.024764221,0.015432313
0.13675746,0.55261135,0.5548319,0.7053221,0.22590356,0.34309787,0.40557593,0.3959062
0.21976584,0.2568885,0.24253663,0.19914109,0.37606105,0.25343683,0.37184292,0.54493403
0.28423744,0.5778998,0.5433684,0.7760204,0.4163238,0.2966194,0.41537553,0.48613912
0.005254209,0.33126634,0.46795654,0.40669972,0.56048894,0.25830328,0.6138085,0.6873374
0.011005289,0.014006089,0.012644164,0.014441901,0.14252153,0.10177838,0.14323221,0.23996694
0.11181135,0.2720465,0.24655631,0.20839624,0.34656274,0.29268566,0.38734826,0.46038783
0.040616397,0.15637153,0.15038864,0.1384199,0.023204938,0.28819057,0.37133735,0.4031928
0.39026034,0.48644966,0.45586425,0.18928444,0.95610493,0.23664042,0.55737686,0.5262766
0.24909024,0.26867655,0.26000452,0.27092665,0.18012166,0.07901341,0.13137808,0.112649515
0.21978568,0.22265509,0.21395606,0.22024313,0.36789376,0.35562247,0.39016008,0.36454535
0.3090361,0.3203553,0.3025083,0.3029642,0.21515249,0.1701613,0.1879361,0.16097975
1.0874375,1.0913887,0.75627035,0.59116757,0.8206105,0.71588314,0.588789,0.2758888
0.20476748,0.21253957,0.30423605,0.93050694,0.23750807,0.05937717,0.49260798,1.100597
