left,right
-1.0815723,1.7136941
-0.9652557,1.6008258
0.062844634,0.5005686
0.31931898,0.2784763
2.1754532,-1.616724
-0.6333582,1.2389321
-0.5107431,1.1261622
0.6453132,-0.11452989
2.193905,-1.6774875
0.79677343,-0.24071391
-1.3792067,2.0357761
0.5912342,-0.040825248
0.22234502,0.35890406
-1.5011065,2.1922405
0.78283066,-0.21877043
0.19669187,0.362795
-0.6395232,1.3217351
0.9283772,-0.322424
1.2815347,-0.7695376
-1.0964139,1.7755221
-0.16502395,0.73738503
-0.03538853,0.6151127
0.6096122,-0.039189175
-1.3512242,2.0569627
-1.7455895,2.4206045
2.1058395,-1.4557898
-1.1982195,2.1098516
-1.1673951,1.8553358
0.9964242,-0.47603846
0.71699804,-0.104856536
-1.2276022,2.027454
0.5798138,-0.009509534
1.3502133,-0.825839
1.1437747,-0.60300344
-1.088233,1.7000608
1.961643,-1.336709
0.3285102,0.29428685
1.0468631,-0.5378875
2.0234659,-1.3435333
1.3090508,-0.7566975
-1.2660825,1.9117974
0.305486,0.31803143
1.9732702,-1.3035847
2.074653,-1.5099479
0.5736066,0.0028176755
-0.7713924,1.3898226
0.8485455,-0.25550157
0.7729111,-0.17116304
-1.0958195,1.7656462
-0.65642655,1.2641146
-1.4271092,2.274275
-0.7085288,1.3152832
-1.1543553,1.8102299
-1.1699815,1.8221627
-1.3654084,2.0316954
0.70965177,-0.086095706
-0.10932553,0.69125515
1.8967042,-1.13321
1.4693215,-0.9101023
0.9243843,-0.39088094
1.6555531,-1.093911
-0.5164873,1.1182406
2.0706866,-1.5226314
-0.66295844,1.2756541
1.849947,-1.3147765
0.32099932,0.29555517
1.7827888,-1.2281289
0.70694214,-0.09019078
0.48190185,0.35403794
0.83354557,-0.12356128
0.36269194,0.36921388
0.9336687,-0.38305134
-0.9925644,1.6858764
1.255111,-0.63334996
0.54763436,-0.008109823
-1.5588787,2.2657726
1.5371113,-0.98460954
-1.551975,2.2356951
-0.83026165,1.4509377
0.030237377,0.53838223
0.6503148,-0.08873239
0.9294948,-0.34912354
0.22648948,0.32585979
0.63863415,-0.11372216
-1.5121236,2.1697547
1.5933201,-0.9267008
1.2724631,-0.7091078
0.32966727,0.36103803
-0.9564317,1.5851312
2.0108752,-1.5140487
-1.2940753,1.9553881
-0.6108043,1.3399127
0.25504437,0.3867706
-0.65669614,1.2606791
1.2442269,-0.69997823
-1.007767,1.7050375
0.48460898,0.09775309
0.28145102,0.33739424
-1.7526333,2.4051292
-0.41383952,1.0241812
1.4300582,-0.8009832
1.0399014,-0.46085936
0.52858156,0.017666623
0.7455657,-0.1396065
1.5688438,-1.0016071
1.0943005,-0.5834523
-0.107865095,0.6812368
0.32707506,0.2862013
1.2554743,-0.7323042
0.5042293,0.037175998
0.38358784,0.4016925
-1.5096223,2.336211
-0.2320306,0.8195919
0.28389308,0.33745748
0.29841077,0.38933325
2.0888996,-1.5213536
-0.8475279,1.4686736
-1.4253576,2.0845459
0.87395394,-0.34969974
-0.74834186,1.3539717
-0.95796305,1.5891736
1.3775127,-0.8572714
0.031974673,0.5437229
1.5135362,-0.9559997
0.9985766,-0.41709054
0.14301717,0.5332024
-1.14375,1.8227183
-0.7152408,1.3081952
2.0685103,-1.478806
-0.6349234,1.2248877
1.1069145,-0.49377722
0.40875077,0.3115695
1.586081,-0.9464428
0.4502205,0.34925902
0.6748578,-0.09624879
-0.15829885,0.74419194
-0.44378644,1.0572524
-0.23402303,0.9735728
0.7890641,-0.18945642
0.38615254,0.20681469
0.401022,0.37902522
-1.5841444,2.2870855
-0.5763928,1.1826653
0.73557293,-0.11228855
1.0083225,-0.37608445
2.1224635,-1.5663264
-0.87009996,1.4972992
-1.1602812,1.8509469
0.39718872,0.23054992
-1.406399,2.0448475
-0.38427776,1.0862974
0.36543956,0.40837902
-1.3991551,2.051931
-1.3229852,2.1984599
0.7352081,-0.10745518
1.2746217,-0.76017815
1.1644459,-0.5811164
1.0037804,-0.47943693
-0.43058985,1.0288569
2.1234434,-1.5846002
-1.1668451,1.8532121
-1.3167636,2.2029228
-1.3420308,2.2133467
0.45251825,0.337624
0.7536718,-0.21726792
0.5199363,0.11886598
1.6223917,-1.103504
1.3005245,-0.6742106
-1.219594,1.8558826
-0.92103106,1.5266738
1.18522,-0.5541747
1.5740376,-1.0181307
0.38625643,0.34612638
1.681731,-1.1294111
1.8410087,-1.3284512
2.2613852,-1.7423215
1.2090914,-0.5650099
-1.0696316,1.7232444
0.43137816,0.10580741
1.723069,-1.204053
