x,vel,angle,angle_vel
-0.59619915,-0.40444735,-0.017967984,0.12840965
-0.04941156,0.18286872,0.045364816,-0.28408092
-0.9380424,-0.5876461,-0.0086826375,0.15805316
-0.82021916,-0.5894216,-0.015967695,0.19724429
-0.6861043,-0.54244155,-0.017636105,0.20000938
-0.67668915,-0.18886212,-5.3919775e-05,-0.10676663
-0.8211368,-0.34488618,-0.0070652184,-0.146395
0.0010691584,0.20514083,-5.7256624e-05,-0.24488555
-0.7215344,-0.59265035,-0.033047725,0.26861247
-0.014372323,0.2226871,-0.04976899,-0.3764061
-0.1075989,-0.5352437,-0.047071308,0.2975183
-0.15409507,-0.57037574,-0.017078854,0.2860658
-0.4298691,-0.40869975,0.02735865,0.22226556
-0.42560557,-0.21317506,0.028946804,-0.079407796
-0.8103337,-0.54015064,-0.010054073,0.14944275
0.02101045,0.18060596,-0.028945705,-0.23391648
-0.89186066,-0.34387,-0.00856513,-0.16881298
-0.5683052,-0.37653202,0.003349061,0.12603028
-0.8668959,-0.18695323,-0.0039766966,-0.148877
-0.67751926,-0.20538668,-0.02900981,-0.25127324
-0.005889134,-0.3816,-0.056089986,0.23823814
-0.5626489,-0.33004215,-0.005019867,-0.21789381
-1.7702087,-0.7107212,-0.0109610595,0.15648514
-0.039750844,-0.37723356,-0.050018527,0.14169309
-0.5716029,-0.40536696,-0.01753305,0.14869955
-0.63295126,-0.4029252,-0.02175968,0.09483222
-0.89173514,-0.71809655,-0.010760799,0.3192019
-0.30540067,-0.3485325,0.012343269,-0.06596055
-0.019988138,-0.03479483,0.04300024,-0.0027463203
-0.021239633,-0.19001642,-0.045610297,-0.081389986
-0.05844112,-0.18004015,-0.048289657,-0.1970902
-0.3867024,-0.5642144,0.019645974,0.25463486
-0.9252637,-0.37314686,-0.025393821,0.051371105
-0.5251171,-0.15979627,-0.0072881863,-0.21777286
-1.0620065,-0.36384335,-0.033972718,-0.15396021
-0.7857153,-0.34538957,-0.0076288227,-0.13529003
-0.95469904,-0.17601521,-0.03361121,-0.28579888
-0.43246928,-0.1587582,0.018445827,-0.24072303
-0.034829184,-0.21143952,-0.038575746,-0.11774387
