l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
5.289939,2.236787,3.158571,6.580087,2.6366248,0.021704972,0.08024378,0.20748839,0.13978525,0.4123048,0.34685564,0.13497019,0.5230443,0.66685754,0.53641206,1.4538596,1.0522642,0.40557957
30.944847,16.852877,7.162813,11.458582,33.18325,53.801872,33.76725,18.51838,7.965913,12.371023,35.018044,54.57957,57.99822,31.883715,14.386796,21.571331,60.35347,101.052025
0.5085927,0.3647924,0.79115534,0.32789528,0.17063197,0.32586694,0.15489385,0.10736573,0.24648058,0.0907781,0.048778027,0.09928781,0.42899898,0.30594736,0.6711738,0.2722364,0.14357571,0.27651075
0.9690187,1.0808032,0.50526416,2.2108293,1.1096766,0.029565021,0.7614765,0.8439753,0.39767122,1.7352405,0.86773837,0.027284786,1.6410624,1.8392546,0.85447586,3.7471519,1.8863838,0.04278344
1.1513708,0.47607645,0.49426258,0.6471938,0.5983465,0.33651903,0.92571855,0.40543127,0.3951682,0.51643306,0.48434004,0.31650198,1.9027197,0.7610349,0.81833875,1.0738716,0.9887534,0.49864864
11.428378,3.0659697,6.437731,9.716419,3.4246023,1.1247904,4.2543755,1.1773983,2.3798153,3.6828387,1.3203698,0.37318414,10.755952,2.934809,6.0254755,9.234584,3.2766433,1.0153922
0.24959397,0.9635695,3.0858648,0.20369679,2.6219969,10.754816,0.06538761,0.83761126,1.9061387,0.272378,1.7848204,8.264255,0.16298729,1.6158359,3.3925335,0.53727174,3.118759,17.553785
2.0199142,0.5556538,1.3109025,0.44644994,1.7750678,5.533951,1.4152997,0.3610803,0.9919144,0.48120672,1.5674059,4.9554176,1.9899502,0.48861268,1.7173109,1.576805,3.2254288,12.624639
0.8877278,0.8059076,0.046151116,3.1566095,0.10575288,16.387339,0.58621955,1.2661822,0.10233414,4.48794,3.7144773,13.335781,1.122592,2.3037226,0.09833729,7.900989,6.2767596,27.6364
0.45884705,0.36314017,1.3269876,0.33963943,2.0135782,8.997078,0.0066821426,0.009701729,0.6331732,0.009493075,0.2888733,3.8612852,0.294232,0.272119,1.6046286,0.26504007,1.227979,11.053587
0.19617972,0.5019511,0.43296,0.7349522,0.42688978,0.16633575,0.0623571,0.14681068,0.13622898,0.21048161,0.12626621,0.056115568,0.16792744,0.41971782,0.36960495,0.6122158,0.35812145,0.14419462
2.7093987,0.3562829,4.9664116,2.6249495,3.3753633,2.166238,0.1759637,0.2132513,0.9439231,0.13010818,0.21364212,3.83104,0.047980666,0.6105561,1.5340936,0.5881319,0.76748204,9.567888
0.7181215,0.5419402,0.693848,2.791892,2.8720157,9.530939,0.41205072,0.5228019,0.7162398,2.5581422,2.472467,7.246708,0.85026383,0.5410249,1.1406405,3.998585,4.912472,17.196827
17.278502,22.52139,23.761429,47.995686,18.467884,42.16085,12.734176,16.488554,17.42969,34.56473,13.255751,32.04111,20.437538,26.52563,28.537434,56.531586,23.673891,56.69789
0.007860422,1.0625772,0.87443554,1.8063029,0.26973772,7.576027,0.6718776,0.072690845,0.8452856,0.46254933,0.6403691,9.231289,1.4578776,0.18026054,1.5781263,0.4359209,1.3965286,20.081486
0.5479817,0.25317848,0.05679751,0.21607104,0.2380303,0.28046042,0.17772767,0.0791623,0.018779838,0.06756161,0.07454534,0.08789548,0.452694,0.2078486,0.047141705,0.17740038,0.19547248,0.23029795
12.635653,32.01618,4.416599,46.85957,8.772253,2.7148476,0.60086703,0.14441922,0.2660588,0.80243397,0.1306811,0.7724432,11.089824,28.015802,3.860835,41.260296,7.704008,2.7539215
1.1931946,0.77783674,0.45122465,0.39842898,0.80400145,0.16357535,0.9126849,0.59337103,0.3705511,0.22072375,0.59475416,0.08921479,2.0388227,1.3284509,0.7722765,0.67633176,1.374004,0.27422366
0.8541362,1.8284668,2.7838724,1.6093098,3.175067,4.133787,0.3055457,0.01992385,0.45979387,0.009408742,0.42136264,0.9477197,0.4359373,1.2932386,2.1135638,1.1695483,2.362823,3.86375
10.692762,46.325024,22.719643,18.972464,22.52413,22.766851,1.4765439,9.450246,4.7723513,3.2209153,3.6680114,4.1880784,9.264393,41.04821,20.211868,16.632008,19.913692,20.41208
