cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.4206501,-0.907223,-0.07619992,0.99709255,1.4785858,-1.5181844
0.797168,0.60375756,0.29271013,0.9562012,5.2405553,-2.1177711
0.9226859,-0.3855525,0.63751405,0.77043873,0.1433387,0.48632398
0.8428634,-0.53812754,0.9722261,0.23404358,-1.4219794,2.8149087
-0.8444588,0.53562045,-0.7893549,-0.6139371,0.8379596,-3.9140103
-0.06955087,-0.9975784,-0.9497156,0.3131138,-1.5791967,-1.9935857
0.99924886,-0.038751926,0.97069865,-0.24029998,0.031734318,0.26816633
-0.045118026,-0.99898165,0.44746098,0.89430344,-2.4687588,8.537212
0.99633014,0.085593626,0.88211924,-0.47102612,-0.20226572,0.0905952
0.9920963,0.12547883,0.94575816,-0.32487154,0.084011994,-0.5683111
0.38434854,-0.9231881,0.23198031,0.9727205,-1.333231,2.7841666
-0.22280872,0.97486216,0.80015045,-0.59979934,3.2000651,-5.644429
0.9995656,-0.029472638,0.9018145,0.43212327,0.88952917,-2.0405629
0.6219973,0.78301936,0.6080329,-0.7939119,1.490762,-2.9935222
0.9994959,-0.031748258,0.9530783,-0.30272374,-0.09868983,0.36899012
0.8681002,-0.49638897,0.9447163,0.32788897,-1.6609066,3.2911503
0.9122316,0.40967488,0.4185749,-0.90818226,-0.36303538,-0.5762892
0.36655188,-0.9303976,-0.99787945,0.06508931,-2.8275447,-0.5696275
0.9994662,-0.032669496,0.97364587,-0.22806513,-0.03106829,-0.3052853
0.58902234,-0.80811673,0.83547676,0.54952574,1.704143,5.598514
0.9998212,-0.018909939,0.9793575,-0.20213598,0.16375273,0.120039925
0.8619061,-0.5070679,-0.99792135,0.06444365,-3.7194293,0.46183184
0.99999845,-0.001769669,0.9271466,-0.37469873,-0.19315274,0.37934017
0.42171976,-0.90672624,-0.61358964,0.78962505,2.655676,-2.793437
0.34441587,-0.9388172,-0.0062309685,0.99998057,-1.0018742,1.593595
-0.12225024,-0.9924993,-0.77516186,-0.6317627,2.533508,0.21280584
0.9820258,0.18874668,0.99968755,0.024997048,1.4271117,-2.7842681
-0.02282463,0.99973947,-0.44100022,-0.897507,-2.0311067,-1.6931719
0.68607754,-0.7275284,0.51407,0.85774827,0.2973253,0.9491457
0.7024119,-0.7117707,0.8067993,0.59082556,-2.47053,4.239698
0.9968246,-0.0796282,0.9978545,0.06547078,0.06253102,-0.0051162625
-0.7044975,-0.7097064,-0.98008096,-0.19859844,0.88089085,2.2072086
0.95542884,-0.2952216,0.6698587,0.7424886,0.7979884,-0.90194684
0.999923,0.012409914,0.8365242,0.54792994,1.1217713,-1.8453991
0.75705487,0.6533513,0.37393987,-0.9274529,-3.1102257,4.346094
0.9275536,0.37369016,-0.9147351,-0.4040541,-3.8605757,3.0624957
0.82325304,0.56767464,0.592556,-0.80552924,0.4244629,-1.6170229
0.027074032,0.99963343,-0.58746684,-0.80924827,0.023729766,-1.5659846
0.964089,-0.26557955,0.9231382,0.38446835,-0.71899706,1.7942624
0.9986425,-0.052087456,0.97295123,0.2310106,-0.49928263,1.4377207
0.88387454,0.4677241,-0.67623633,0.73668474,-3.3306592,7.3691053
0.99049383,0.13755709,0.9769379,-0.21352364,-0.24566661,0.15560381
0.55339646,0.832918,0.48591536,-0.87400585,0.041100033,-1.5090249
0.6458537,0.7634612,0.79900813,-0.6013202,1.0971329,-2.6413927
0.9997034,0.024353644,0.98119885,-0.19299957,0.2602988,-0.021408448
-0.8834688,0.46848994,-0.76157457,0.64807725,-0.16087392,-2.831586
0.96037656,-0.2787056,0.8268653,-0.5624,-3.822692,6.3167186
0.349403,-0.93697256,-0.3268274,0.94508404,1.1320101,0.04293961
0.241923,0.9702954,-0.5764955,-0.8171003,-1.5693196,1.5331569
0.8867644,0.46222174,0.4047905,-0.91440946,-0.98087764,0.5399342
0.9546325,-0.29778638,0.46248442,0.8866274,3.2050028,-4.2545357
0.9842848,0.17658812,0.9705723,-0.24080996,-0.1407675,0.11401703
-0.18492828,0.982752,-0.39171988,-0.92008454,0.7698408,4.383473
0.85383767,-0.5205394,0.8021784,0.5970844,-3.729607,6.459897
0.98121107,0.19293728,0.9064303,-0.42235547,0.30289525,-0.6720692
0.52008605,0.8541139,-0.5529616,-0.8332067,-3.5817862,0.47926256
0.90760297,-0.4198296,0.41277203,0.9108344,1.9325085,-1.9669175
-0.04906359,-0.9987956,-0.93807775,0.34642485,1.0503228,1.3555679
0.92991513,-0.36777416,0.7620227,0.6475503,-0.33257055,1.2479386
0.10339005,0.9946409,-0.45195347,-0.8920415,-0.5859023,0.20258914
-0.013078635,-0.99991447,0.30335975,0.9528761,2.0713987,-6.0097756
-0.12693775,-0.9919107,-0.7240889,0.6897066,-0.28761476,2.7075934
0.9792575,0.20261964,-0.20433655,-0.9789007,-4.438163,3.3150086
0.99699986,0.07740311,0.966965,-0.25490916,0.24631356,-0.8559652
0.4210824,0.90702236,0.7342154,0.67891663,-3.166596,8.340825
-0.1806772,0.98354244,-0.683096,-0.7303286,0.63056904,-3.9061491
0.9435875,-0.33112338,0.6387323,0.769429,2.0285192,-1.9831195
0.7416351,-0.67080355,0.21262352,0.97713417,1.0379425,-0.14049575
0.9532277,0.30225307,0.9929071,0.11889277,4.264461,-7.5291476
-0.13440083,0.99092704,0.7501216,-0.66129994,1.3628062,-4.5964203
0.8092624,0.58744735,-0.98542523,-0.17010917,3.8405118,-5.448823
0.9929706,0.11836122,0.9610487,-0.27637896,0.43312967,-0.85239977
0.9863423,0.16470821,0.9996041,-0.02813634,1.0024272,-2.591187
0.9999981,-0.001946905,0.999649,0.026492737,0.09706013,-0.43561465
0.16171736,0.9868371,-0.1808781,-0.98350555,1.3303984,-2.9178293
0.95442086,-0.29846412,0.7796992,0.62615424,-0.11846367,1.2538534
0.97033274,-0.24177344,0.93159854,0.36348882,-0.45193154,1.7407846
0.99598736,-0.089494325,0.9811241,0.19337921,3.51012,-5.5627384
0.6632451,0.7484023,0.99804723,-0.062463824,3.7756102,-7.42997
0.9995932,0.028520672,0.9853385,-0.17061079,-0.2532886,0.012678162
0.57604307,-0.81741935,0.6251654,0.7804923,-1.8601365,2.9070067
0.34632114,0.938116,-0.040227827,-0.9991905,1.8175844,-2.432295
0.78737634,-0.61647266,0.4512638,0.8923906,1.1819395,-0.24027419
-0.13377896,-0.9910112,-0.9515619,0.3074572,-0.07437897,1.3984916
0.9999055,0.013745765,0.8353285,0.5497511,2.4623523,-3.5719652
0.99932235,0.036808826,0.99997675,0.0068144095,0.0071668657,0.044943254
0.99092776,-0.13439575,0.9999519,0.009810333,-0.6049041,1.7971904
0.99650544,0.08352786,0.9827416,-0.18498373,-0.286195,0.12253363
0.79392487,-0.6080159,0.7736676,0.6335918,-0.575424,2.4220817
-0.1602937,0.98706937,-0.9845166,-0.17529136,-0.7870392,-2.531676
0.9728403,0.23147723,0.85920024,-0.5116395,0.0820443,-0.31917098
0.9961308,-0.08788271,0.86322296,0.5048229,1.2796031,-2.1219923
0.9931275,0.11703747,0.9404498,-0.33993262,-0.084072486,0.576372
0.99749833,0.07068973,0.840133,-0.5423804,-2.7657187,3.4399176
0.9974123,0.07189332,0.99544764,-0.095309995,0.14679235,-0.50798374
0.9026415,0.4303933,-0.07595522,-0.9971112,-3.3714185,4.0486727
0.3470665,0.9378405,-0.24601789,-0.9692653,-1.9088378,2.053449
0.9988878,0.047150828,0.99987084,-0.016071124,0.09338037,-0.2679441
0.75219536,-0.6589402,0.42037192,0.9073519,2.666633,-3.6381228
0.32002532,-0.947409,-0.9477794,0.31892666,2.4024293,-1.7009528
-0.088674024,0.9960607,0.6653665,-0.7465169,-1.7272693,6.9772186
0.92513263,-0.379644,-0.3902864,-0.9206935,-3.715357,4.4503284
0.9412744,0.3376425,0.8611123,-0.50841475,0.7285168,-2.338081
0.71299595,-0.7011681,0.6162201,0.787574,-0.8606651,2.345465
0.63391614,0.7734018,0.32481086,-0.945779,-1.0287405,-0.236467
0.9547367,0.29745227,0.40085474,-0.9161416,-0.80984235,0.36795726
0.9967316,0.08078452,0.97834355,-0.20698757,0.29294848,-0.11012087
-0.7719998,-0.6356228,-0.9475209,0.31969377,0.08460831,3.0108702
0.9999732,0.0073238234,-0.57934123,0.8150851,3.692602,-3.511112
0.99909484,0.042538114,0.89562076,-0.4448184,0.21318334,-0.30864114
0.11579377,0.99327326,-0.9806018,0.19601059,-1.9556521,-1.2303185
0.8274379,0.56155723,0.6287798,-0.77758336,3.149931,-4.8587584
0.46709272,0.8842083,-0.9986246,0.05243009,-3.0264244,1.612395
-0.07130563,-0.9974545,-0.888974,-0.45795766,1.4216416,4.7836285
-0.028830854,-0.9995843,-0.98658717,0.1632354,1.1248279,0.07854213
0.9929403,0.11861508,0.8848985,-0.46578392,-0.12277587,-0.15451474
0.7742787,-0.63284475,0.6501366,-0.7598173,-4.341735,5.629949
0.92297775,-0.38485327,0.9338828,0.3575793,-2.9273834,4.3482013
0.8594778,0.51117307,0.5409004,-0.8410866,-0.4927614,-0.6456302
0.56425744,-0.8255989,0.97984797,-0.19974472,3.8509657,-8.259119
0.5208566,-0.8536442,0.14405002,0.9895704,1.7567772,-1.5280994
0.97946894,0.20159502,0.8778889,-0.47886428,-2.882734,3.9469821
0.26244953,0.96494573,-0.66520315,0.7466624,2.8485217,-4.767496
0.26575673,0.9640401,0.9567304,0.29097572,2.5848124,-5.4124928
0.9850315,-0.17237455,0.7286196,0.6849186,0.52053785,-0.98663634
0.9586648,-0.2845379,0.652289,0.7579704,0.26023027,0.5667337
0.9734784,-0.22877914,0.6739022,0.73882055,0.04488192,0.22984359
0.97734326,-0.21166049,0.7486685,0.66294456,-0.21782774,0.82456726
0.97698665,0.21330039,0.63139147,-0.7754643,-1.63005,2.0967126
0.9915228,0.12993285,-0.08638102,0.9962622,4.68285,-4.31067
0.98937166,0.1454088,0.82351315,-0.56729716,-0.08513312,-0.10375982
0.31914347,-0.9477064,0.03060068,0.9995317,0.45244467,0.34983292
0.7084205,-0.70579064,-0.6265859,0.77935237,4.2700667,-1.5496165
-0.50878865,-0.86089146,-0.85560393,-0.51763105,1.6146834,1.2125325
0.6505548,-0.7594594,-0.14198521,0.98986876,2.3360102,-1.9909706
-0.07455536,0.9972169,0.79916275,0.60111475,4.591251,-3.7799597
0.47953886,-0.8775206,0.5644932,-0.8254377,-3.075221,5.456048
0.83276695,0.55362374,0.9402489,-0.34048796,2.134303,-3.3091688
-0.46566048,-0.88496345,0.22185524,0.9750796,-2.1822667,4.4600334
0.99904954,-0.04358918,0.9998624,0.01659141,0.28945887,-0.4696791
0.072709545,-0.99735314,-0.12965854,0.99155873,-1.7246522,4.13815
0.7579074,0.65236217,0.22592889,0.9741438,3.2715514,-4.8640337
-0.13640939,-0.99065256,-0.8699568,0.49312797,0.21079744,0.4581186
