no-op,no-op,no-op,no-op,no-op,no-op,no-op,no-op,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire right,fire right,fire right,fire right,fire right,fire right,fire right,fire right
x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
7.9199315e-05,4.1684303e-05,3.1504762e-05,3.524151e-05,4.1475614e-05,3.9097955e-05,4.0788014e-05,4.0788014e-05,6.987653e-05,3.6728576e-05,2.7862641e-05,3.125067e-05,3.6599977e-05,3.452744e-05,3.6012985e-05,3.6012985e-05,8.261543e-05,4.3453063e-05,3.289752e-05,3.6841193e-05,4.325859e-05,4.079745e-05,4.255722e-05,4.255722e-05,9.8830045e-05,5.181022e-05,3.9565915e-05,4.4544686e-05,5.1713094e-05,4.8887923e-05,5.0973522e-05,5.0973522e-05
3.0316787e-05,1.563368e-05,2.0597052e-05,2.8822993e-05,2.6551135e-05,2.95166e-05,2.4486517e-05,2.4486517e-05,1.0139028e-05,5.1272973e-06,6.8567683e-06,9.5902715e-06,8.886301e-06,9.885194e-06,8.1932785e-06,8.1932785e-06,7.659997e-06,3.942153e-06,5.19827e-06,7.2752377e-06,6.707665e-06,7.4574655e-06,6.1852934e-06,6.1852934e-06,1.6003625e-05,8.225536e-06,1.0847084e-05,1.5152155e-05,1.4015425e-05,1.5577385e-05,1.29245755e-05,1.29245755e-05
0.0042405636,0.0030593444,0.0042783488,0.0022564414,0.0020345848,0.0022744413,0.00045550533,0.00045550533,0.0016521694,0.0011919388,0.0016668682,0.0008791056,0.00079268083,0.0008861318,0.00017745842,0.00017745842,0.003966189,0.0028613925,0.004001495,0.002110414,0.001902944,0.0021272553,0.00042601698,0.00042601698,0.0017285661,0.0012470506,0.0017438735,0.0009196933,0.00082935207,0.00092705386,0.00018562813,0.00018562813
3.62222e-05,4.5949968e-05,2.3237826e-05,0.00025189627,0.00029341134,0.0006110653,4.4303604e-05,4.4303604e-05,0.00053403486,0.00023962845,0.00041312244,0.0005074647,0.0011893836,0.0029137852,0.00023010929,0.00023010929,0.00014256284,4.0904426e-05,0.00011499604,0.00036742643,0.0006190335,0.0014319475,3.9004368e-05,3.9004368e-05,0.008755812,0.0048027225,0.006666803,3.096377e-05,0.008627835,0.024447965,0.0046229525,0.0046229525
7.203141e-05,2.7430986e-05,7.124532e-05,9.946435e-06,6.0886912e-05,5.1641073e-05,5.4944532e-05,5.4944532e-05,9.78838e-05,3.6681446e-05,9.672121e-05,1.401508e-05,8.284473e-05,7.0462214e-05,7.474842e-05,7.474842e-05,5.7829526e-05,2.2014086e-05,5.7205645e-05,8.049267e-06,4.8888276e-05,4.148061e-05,4.4116376e-05,4.4116376e-05,0.0001030442,3.9047358e-05,0.000102074526,1.5479425e-05,8.7198096e-05,7.419387e-05,7.8675424e-05,7.8675424e-05
8.153504e-05,7.162924e-05,3.2577052e-05,6.054242e-05,5.7015786e-05,4.901397e-05,5.0281695e-05,5.0281695e-05,2.8189363e-06,2.4607602e-06,1.1265829e-06,2.088589e-06,1.9656259e-06,1.6920706e-06,1.7359162e-06,1.7359162e-06,8.063455e-05,7.069309e-05,3.229518e-05,5.991552e-05,5.6358236e-05,4.8487418e-05,4.9739185e-05,4.9739185e-05,6.136353e-05,5.2867934e-05,2.5064595e-05,4.5775545e-05,4.2690925e-05,3.698894e-05,3.7928516e-05,3.7928516e-05
0.0002958371,0.00023541939,0.00023253582,0.000107653694,0.00013351682,9.143213e-06,4.7550846e-05,4.7550846e-05,0.00011341914,9.02834e-05,8.9203815e-05,4.1340285e-05,5.1188876e-05,3.4819627e-06,1.8211267e-05,1.8211267e-05,0.00028318196,0.00022541621,0.0002227,0.00010310766,0.00012783031,8.708675e-06,4.548951e-05,4.548951e-05,0.00013466256,0.000107414446,0.00010624437,4.9211692e-05,6.0869308e-05,4.0032496e-06,2.154595e-05,2.154595e-05
2.199379e-05,5.82763e-05,5.265505e-06,8.8960136e-05,9.585371e-05,1.1738821e-05,3.7398106e-05,3.7398106e-05,2.7364313e-06,7.3317956e-06,6.567754e-07,1.1187189e-05,1.2058771e-05,1.459536e-06,4.69079e-06,4.69079e-06,1.922311e-05,5.0910257e-05,4.633747e-06,7.765197e-05,8.37202e-05,1.0243301e-05,3.2658707e-05,3.2658707e-05,1.1362143e-05,2.9974743e-05,2.8247753e-06,4.5507462e-05,4.922754e-05,6.0015395e-06,1.9193347e-05,1.9193347e-05
8.054333e-05,7.1319715e-05,3.5906214e-05,0.000104029044,7.8497615e-05,7.448164e-05,6.1372215e-05,6.1372215e-05,6.794235e-05,6.0385144e-05,3.0246218e-05,8.8096414e-05,6.639413e-05,6.293233e-05,5.181732e-05,5.181732e-05,8.920201e-05,7.892384e-05,3.9782524e-05,0.00011520537,8.691796e-05,8.24803e-05,6.796612e-05,6.796612e-05,0.00011140301,9.8219614e-05,4.997996e-05,0.00014496547,0.00010863843,0.00010305825,8.490776e-05,8.490776e-05
9.3661685e-05,3.303808e-05,4.8063055e-05,9.817868e-05,8.772929e-05,9.668284e-05,7.550218e-05,7.550218e-05,1.4680814e-05,5.2529613e-06,7.5091475e-06,1.5398411e-05,1.37714005e-05,1.51827135e-05,1.1842619e-05,1.1842619e-05,9.444474e-05,3.3271568e-05,4.846979e-05,9.898907e-05,8.8457076e-05,9.748885e-05,7.6130964e-05,7.6130964e-05,8.4744235e-05,2.9864235e-05,4.3659096e-05,8.965403e-05,7.9482365e-05,8.768388e-05,6.836809e-05,6.836809e-05
0.00015225635,8.440138e-05,2.947929e-06,3.0237281e-05,6.458793e-05,6.3075895e-05,7.499357e-05,7.499357e-05,5.5635974e-05,2.9641307e-05,3.7637398e-07,1.142379e-05,2.3197234e-05,2.3225328e-05,2.7483171e-05,2.7483171e-05,0.00014531393,7.930473e-05,2.0691657e-06,2.909766e-05,6.124076e-05,6.038598e-05,7.1659335e-05,7.1659335e-05,7.639911e-05,3.5716253e-05,2.4523738e-06,1.6492671e-05,3.0257446e-05,3.263614e-05,3.8078695e-05,3.8078695e-05
