no-op,no-op,no-op,no-op,no-op,no-op,no-op,no-op,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire right,fire right,fire right,fire right,fire right,fire right,fire right,fire right
x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
0.04498892,0.21429415,0.0745793,0.41237655,0.06479453,0.027622933,0.003462704,0.08231791,0.21872745,0.15044399,0.5550819,0.24907859,0.93933713,0.82842565,0.062354904,0.19889562,0.09207644,0.2966383,0.03693551,0.563214,0.020566363,0.059862804,0.012906441,0.09737543,0.20896566,0.15738252,0.30197662,0.32524496,0.5822983,0.5490386,0.048392598,0.03806679
0.0024133998,0.023032228,0.024265159,0.032371033,0.03877179,0.011594811,0.023819206,0.014585328,0.043729752,0.015214911,0.08654136,0.0067942445,0.15075879,0.08299996,0.054642517,0.009417505,0.014427933,0.046589106,0.0151099805,0.07261185,0.017680775,0.012696581,0.027072048,0.028068887,0.033472802,0.025065254,0.035099227,0.048805762,0.06769324,0.053396467,0.010532391,0.0143361185
0.04501515,0.21421546,0.07463176,0.41237655,0.06479453,0.027675398,0.003384006,0.08237038,0.21870123,0.15033907,0.5550819,0.24902612,0.9393109,0.8283732,0.062354904,0.19894807,0.09207644,0.29658583,0.03693551,0.56316155,0.020566363,0.059862804,0.012801511,0.09748036,0.20897548,0.15739235,0.30194384,0.32522857,0.58229166,0.5490189,0.04832374,0.038093023
0.000996839,0.02245511,0.018362824,0.032134943,0.029118191,0.0061384295,0.021195944,0.014847655,0.03142666,0.013195001,0.06634226,0.0060334993,0.11775816,0.06413872,0.045749664,0.010204484,0.012381789,0.046851434,0.018362824,0.07266431,0.022979762,0.009548668,0.02859354,0.028016422,0.025970278,0.026232606,0.022861715,0.04927795,0.047703993,0.0419984,0.0051415907,0.013890164
0.000996839,0.022428878,0.018362824,0.032161172,0.02909196,0.006164662,0.021195944,0.014795189,0.031347964,0.013221233,0.06636849,0.0060334993,0.11773193,0.06413872,0.045775894,0.010178251,0.012381789,0.046798967,0.018415289,0.07266431,0.023032228,0.009496203,0.028541075,0.028016422,0.025983395,0.02624572,0.022874832,0.049291063,0.04771711,0.041985285,0.0051415907,0.013877048
0.008000945,0.0998413,0.08831207,0.14500073,0.11863696,0.010938996,0.061279364,0.006768012,0.057580568,0.17717502,0.27436683,0.23882164,0.37869388,0.12982516,0.12948413,0.04047691,0.02376674,0.12864469,0.09396519,0.18798284,0.12806758,0.0028855866,0.07743865,0.0030429822,0.05169135,0.011319369,0.09480464,0.0044857753,0.13174014,0.07955038,0.020408968,0.02145827
0.049474694,0.21161842,0.058865964,0.4055036,0.038824257,0.0024133998,0.0044857753,0.07518265,0.18855996,0.12874962,0.47423303,0.21799295,0.7988353,0.7005155,0.054196563,0.16563267,0.08572815,0.26699546,0.023661809,0.50802064,0.037197836,0.07376608,0.012119464,0.08168833,0.19157672,0.1464304,0.275967,0.29996985,0.53257436,0.50266916,0.044542965,0.034233548
0.009653599,0.10039218,0.08578062,0.14656156,0.114741415,0.008066526,0.06087276,0.0062302435,0.05217665,0.17893259,0.26620847,0.24380583,0.36620715,0.12046012,0.1281725,0.038745556,0.020933619,0.1275954,0.09821487,0.18535958,0.13462573,0.0017838172,0.0781207,0.003934891,0.042627983,0.014414816,0.08128173,0.012867093,0.111016385,0.06399444,0.01823166,0.018585801
0.072270826,0.20080404,0.019976128,0.4011621,0.042483702,0.046917014,0.0009443738,0.034863133,0.17577156,0.09104025,0.4093598,0.1636521,0.7758817,0.57664514,0.15751368,0.16721319,0.12877259,0.28260714,0.025760418,0.5600235,0.031698823,0.13805564,0.01724138,0.03182343,0.2134744,0.1816739,0.26644456,0.37344083,0.49485186,0.4634416,0.10926207,0.07415629
0.03821435,0.23720834,0.0045644734,0.45545048,0.040949095,0.055298332,0.014113141,0.014585328,0.21967183,0.13289438,0.37983504,0.20255506,0.7502525,0.5566559,0.12882832,0.16104196,0.08457392,0.3302029,0.057337917,0.63336,0.02940675,0.14665994,0.03576816,0.003161029,0.2024239,0.1967183,0.27519315,0.41158956,0.4774334,0.45850655,0.10778978,0.094450496
