l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.41571382,0.06528368,0.09686377,0.09076554,0.4965153,0.55096376,0.11276271,0.019438092,0.021398235,0.022051618,0.12256343,0.13661113,0.3538604,0.058314275,0.08706305,0.08140042,0.43923554,0.4899815
0.52700645,0.0609278,0.109278016,0.024120659,0.57862353,0.6485353,0.08815202,0.015027769,0.030491125,0.017859088,0.07214418,0.06669933,0.46308395,0.052324947,0.09446804,0.027823152,0.53386694,0.6147773
0.5814549,0.0957748,0.03697049,0.0023412828,0.63285416,0.6910051,0.10007623,0.018730262,0.024011761,0.020091474,0.0889143,0.08548405,0.56021994,0.09359686,0.022160513,0.0069149514,0.65158445,0.73140585
0.60742676,0.03245127,0.020635957,0.041707505,0.88663834,0.92448,0.042633127,0.0030491124,0.038767286,0.0006533812,0.14183818,0.17080475,0.59637374,0.039720137,0.0016879016,0.038903408,0.9431831,1.0
0.5561908,0.0748666,0.024338452,0.081836,0.60693675,0.64505064,0.09691822,0.014809975,0.019710334,0.0020145923,0.080583684,0.07737123,0.5353915,0.07421322,0.005717086,0.08728085,0.6242513,0.6808777
0.5418164,0.108842425,0.05265164,0.03479255,0.47996297,0.5635958,0.14891648,0.031852335,0.016388979,0.005608189,0.13519546,0.15577698,0.45665905,0.09076554,0.047860175,0.029565502,0.41810954,0.49019927
0.6415659,0.09751715,0.032505717,0.019329196,0.79380375,0.8401938,0.021343788,0.009147338,0.038222805,0.017369052,0.080583684,0.10693673,0.6307307,0.09536644,0.012958728,0.015054993,0.8313732,0.9025373
0.5383317,0.10317979,0.057878688,0.0365349,0.4782206,0.5688228,0.1479364,0.030545574,0.017477948,0.0060437764,0.13486879,0.15697485,0.45382774,0.08662746,0.051998258,0.030436676,0.416585,0.49433735
0.51611674,0.09838833,0.05613634,0.00081672653,0.49520853,0.5522705,0.1410759,0.029021017,0.016933464,0.005608189,0.14009583,0.15207449,0.43400848,0.081836,0.0504737,0.0032124578,0.43161276,0.4793096
0.48410106,0.058096483,0.07530219,0.043068714,0.6350321,0.6792443,0.08390504,0.015245562,0.02651639,0.008058369,0.07432212,0.079385825,0.42072308,0.050038114,0.06397691,0.034356963,0.57753456,0.6232713
0.5635958,0.08227159,0.07225308,0.02542742,0.5431232,0.6178264,0.09348797,0.021507133,0.023576174,0.019601438,0.068768375,0.07034738,0.49477294,0.070292935,0.06354132,0.028040946,0.5008712,0.5810193
0.5736143,0.10100185,0.03413917,0.011706414,0.62022215,0.6659588,0.083741695,0.013775455,0.022487205,0.023467276,0.075138845,0.06207122,0.50228685,0.08684526,0.02335838,0.015517805,0.5745944,0.62610257
0.5431232,0.06898617,0.06310574,0.024338452,0.65223783,0.7225852,0.09261679,0.016770119,0.025264075,0.02058151,0.080529235,0.07421322,0.49771318,0.06299684,0.05156267,0.015191114,0.63100296,0.7147446
0.50283134,0.06593706,0.07225308,0.08357835,0.63350755,0.7360884,0.08570184,0.015245562,0.025372973,0.0023412828,0.078296855,0.07742568,0.46123272,0.05994773,0.05983883,0.08390504,0.6106392,0.7229119
0.41571382,0.06637265,0.098170534,0.09098334,0.49760428,0.5503104,0.112653814,0.019655885,0.021724926,0.022051618,0.12289012,0.13672003,0.3536426,0.058749866,0.087934226,0.08140042,0.43967113,0.4897637
0.50413805,0.074648805,0.04568224,0.10535773,0.599314,0.68686706,0.09697267,0.019002505,0.020254819,0.018675813,0.09103779,0.10628335,0.4379288,0.06484809,0.039584015,0.09141893,0.54747903,0.63263637
0.4821409,0.061581183,0.07639116,0.07900468,0.59626484,0.6703147,0.088478714,0.017369052,0.02303169,0.0050637047,0.079331376,0.088587604,0.4194163,0.05330502,0.06571926,0.07051072,0.542252,0.6189154
0.4372754,0.07399543,0.07748013,0.11755417,0.44860068,0.52308613,0.12147447,0.02303169,0.02020037,0.030109987,0.12452357,0.1447784,0.368017,0.06267015,0.07094631,0.102526404,0.3887074,0.45339215
0.542252,0.10013068,0.011270827,0.10165523,0.6422193,0.6775019,0.079984754,0.016334532,0.02232386,0.0,0.0661004,0.06430361,0.4753893,0.08826092,0.0061526736,0.09751715,0.5916912,0.6353588
0.4407601,0.07660895,0.07530219,0.11973211,0.4472939,0.52265054,0.11984101,0.02194272,0.021833824,0.030545574,0.12615703,0.1447784,0.36867037,0.06375912,0.069857344,0.102526404,0.38783622,0.45317435
0.50196016,0.06375912,0.07530219,0.08619188,0.63350755,0.7341283,0.08238049,0.016879015,0.022813896,0.00043558748,0.068713926,0.06931286,0.4411957,0.05504737,0.06528368,0.08292497,0.58189046,0.68773824
0.42725688,0.07748013,0.10100185,0.11276271,0.48170534,0.5635958,0.11385168,0.021398235,0.022922792,0.025645213,0.11929653,0.13987803,0.36257213,0.0678972,0.089676574,0.0992595,0.42725688,0.5039203
0.5592399,0.07225308,0.0051726014,0.07051072,0.6278449,0.64417946,0.09719046,0.014537733,0.017913535,0.003103561,0.082707174,0.077207886,0.5383317,0.07159969,0.01323097,0.07562888,0.64559513,0.67989767
0.43945333,0.0748666,0.076173365,0.11973211,0.44903627,0.52265054,0.12092998,0.022813896,0.020527061,0.029783295,0.12452357,0.1446695,0.3673636,0.061145596,0.068768375,0.102308616,0.39044973,0.45382774
0.43901774,0.07660895,0.08619188,0.12800828,0.43553305,0.5248285,0.120494395,0.022922792,0.023576174,0.03130785,0.12136557,0.1445606,0.3671458,0.062234566,0.07595557,0.10949581,0.38064903,0.45665905
0.5672983,0.107753456,0.015408908,0.0922901,0.7086464,0.74893826,0.09855167,0.020254819,0.018893607,0.0021779374,0.09376021,0.092181206,0.55357724,0.10808015,0.002123489,0.09152782,0.74512684,0.80447567
0.5078406,0.06615485,0.07181749,0.08488511,0.6424371,0.7458891,0.07905913,0.01464663,0.025971904,0.0007622781,0.06762496,0.06533813,0.4477295,0.058749866,0.0609278,0.080964826,0.58929545,0.6988457
