left,left,left,left,right,right,right,right
x,vel,angle,angle_vel,x,vel,angle,angle_vel
0.06440021,0.38616467,0.69745946,0.911067,0.08372767,0.38785046,0.7194191,0.92978823
0.07210458,0.3679463,0.6823169,0.8651219,0.088607594,0.37661186,0.7099846,0.9011002
0.10564297,0.28096533,0.46859103,0.65846443,0.12457116,0.28475097,0.4894712,0.67147756
0.038536616,0.3629185,0.7168757,0.87584287,0.054655153,0.3763161,0.74032885,0.9299657
0.017124098,0.38524783,0.7025021,0.8990003,0.01886904,0.4045605,0.7425766,0.9457885
0.06707678,0.3469774,0.6951378,0.8525967,0.092038326,0.35289246,0.71702355,0.8927008
0.07476635,0.36401278,0.60688514,0.8042115,0.092393234,0.36898142,0.6448598,0.82355374
0.07878859,0.36838993,0.6831894,0.8811073,0.10067432,0.3662605,0.7037738,0.9052407
0.054773454,0.35490358,0.699515,0.8530699,0.07523956,0.3679167,0.7253046,0.8956584
0.044481248,0.35916242,0.7100438,0.86773926,0.056962024,0.37495562,0.7377263,0.926949
0.08925825,0.32488465,0.5703153,0.78151244,0.1108778,0.32074413,0.5954395,0.80018926
0.010528807,0.38507038,0.6839879,0.8942683,0.011002011,0.4051816,0.7340589,0.9593044
0.054773454,0.35490358,0.69939667,0.8530108,0.07523956,0.36797586,0.7252455,0.89554006
0.07488465,0.33325446,0.55577904,0.763161,0.093162194,0.3329587,0.5823376,0.7736307
0.037383176,0.38850114,0.68874955,0.9522063,0.03188217,0.40417603,0.7209866,0.9397255
0.054773454,0.35490358,0.69939667,0.8530699,0.07518041,0.36779842,0.7253046,0.8955992
0.087779485,0.32994202,0.52312785,0.7353602,0.10877795,0.32840413,0.5415237,0.73849523
0.07878859,0.36838993,0.6831894,0.8812256,0.10079262,0.3662605,0.7038921,0.9052407
0.06432627,0.38622382,0.6974447,0.91109663,0.083698094,0.38785046,0.71944875,0.9297143
0.051224418,0.37767658,0.68564415,0.8741867,0.07393824,0.38311842,0.7106353,0.90358454
0.060629364,0.35002366,0.61550635,0.81453323,0.07660002,0.35206434,0.6505087,0.83077013
0.03276943,0.39145866,0.7019993,0.9751567,0.031349815,0.40435347,0.7382586,0.97775936
0.061487045,0.38101858,0.68395835,0.8763457,0.08044481,0.38196498,0.7040104,0.88995034
0.049302023,0.37791318,0.7350053,0.9138176,0.05152017,0.39855674,0.7708506,0.9700698
0.06432627,0.38619426,0.6973264,0.911067,0.08378682,0.38793918,0.71933043,0.92978823
0.044481248,0.35910326,0.7099255,0.8678576,0.056902874,0.37495562,0.7377263,0.92700815
0.06278836,0.38019046,0.67999524,0.8703714,0.083816394,0.3805602,0.69590676,0.8703271
0.051239204,0.37772095,0.6856146,0.8742606,0.07390867,0.38317758,0.710517,0.9034367
0.061753225,0.38054538,0.6825979,0.8782976,0.080725774,0.38153613,0.7024281,0.8920205
0.086478174,0.35088134,0.56086594,0.7683663,0.10653023,0.35318822,0.58819354,0.7794274
0.046374068,0.3693955,0.68009883,0.9210931,0.03856619,0.39148822,0.7261919,0.9459659
0.06293624,0.38022003,0.68011355,0.8704602,0.083934695,0.3806341,0.6960842,0.8702236
0.054773454,0.3547853,0.69939667,0.8530699,0.07512126,0.36779842,0.7254229,0.8956584
0.054773454,0.35490358,0.69939667,0.8529516,0.07523956,0.36803502,0.7254229,0.89542174
0.058795694,0.34401986,0.6933633,0.84857446,0.08221933,0.34934342,0.71513075,0.88785046
0.07500296,0.33349106,0.55577904,0.7632793,0.093221344,0.3328404,0.5823968,0.7736898
0.060747664,0.35002366,0.6155507,0.81456286,0.07670353,0.3521531,0.6506566,0.8306222
0.046374068,0.36933634,0.68011355,0.92115223,0.03847746,0.39157695,0.7261919,0.9459364
